Ethnic group,Age,Year at 30 June,Sex,Value,Flags
"Total people, ethnic group","36 Years","2013","Total people, sex",53800,
"Total people, ethnic group","37 Years","2013","Total people, sex",54130,
"Total people, ethnic group","34 Years","2013","Total people, sex",53610,
"Total people, ethnic group","32 Years","2013","Total people, sex",54050,
"Total people, ethnic group","33 Years","2013","Total people, sex",53710,
"Total people, ethnic group","31 Years","2013","Total people, sex",54570,
"Total people, ethnic group","30 Years","2013","Total people, sex",55160,
"Total people, ethnic group","57 Years","1996","Total people, sex",31840,
"Total people, ethnic group","58 Years","1996","Total people, sex",30570,
"Total people, ethnic group","29 Years","2013","Total people, sex",54630,
"Total people, ethnic group","59 Years","1996","Total people, sex",29610,
"Total people, ethnic group","60 Years","1996","Total people, sex",28310,
"Total people, ethnic group","61 Years","1996","Total people, sex",27340,
"Total people, ethnic group","62 Years","1996","Total people, sex",27170,
"Total people, ethnic group","63 Years","1996","Total people, sex",27320,
"Total people, ethnic group","64 Years","1996","Total people, sex",27320,
"Total people, ethnic group","65 Years","1996","Total people, sex",28290,
"Total people, ethnic group","66 Years","1996","Total people, sex",27510,
"Total people, ethnic group","67 Years","1996","Total people, sex",26900,
"Total people, ethnic group","68 Years","1996","Total people, sex",26690,
"Total people, ethnic group","69 Years","1996","Total people, sex",25650,
"Total people, ethnic group","70 Years","1996","Total people, sex",25000,
"Total people, ethnic group","71 Years","1996","Total people, sex",24570,
"Total people, ethnic group","72 Years","1996","Total people, sex",22710,
"Total people, ethnic group","73 Years","1996","Total people, sex",21860,
"Total people, ethnic group","74 Years","1996","Total people, sex",21550,
"Total people, ethnic group","75 Years","1996","Total people, sex",19910,
"Total people, ethnic group","76 Years","1996","Total people, sex",18960,
"Total people, ethnic group","77 Years","1996","Total people, sex",15420,
"Total people, ethnic group","78 Years","1996","Total people, sex",14720,
"Total people, ethnic group","79 Years","1996","Total people, sex",14740,
"Total people, ethnic group","80 Years","1996","Total people, sex",13290,
"Total people, ethnic group","81 Years","1996","Total people, sex",12600,
"Total people, ethnic group","82 Years","1996","Total people, sex",11440,
"Total people, ethnic group","83 Years","1996","Total people, sex",10140,
"Total people, ethnic group","84 Years","1996","Total people, sex",8940,
"Total people, ethnic group","85 Years","1996","Total people, sex",7450,
"Total people, ethnic group","86 Years","1996","Total people, sex",6430,
"Total people, ethnic group","87 Years","1996","Total people, sex",5530,
"Total people, ethnic group","88 Years","1996","Total people, sex",4470,
"Total people, ethnic group","90 Years and over","1996","Total people, sex",11680,
"Total people, ethnic group","90 Years and over","2001","Total people, sex",15230,
"Total people, ethnic group","89 Years","1996","Total people, sex",3630,
"Total people, ethnic group","88 Years","2001","Total people, sex",5710,
"Total people, ethnic group","89 Years","2001","Total people, sex",4870,
"Total people, ethnic group","87 Years","2001","Total people, sex",6970,
"Total people, ethnic group","86 Years","2001","Total people, sex",8080,
"Total people, ethnic group","83 Years","2001","Total people, sex",10500,
"Total people, ethnic group","84 Years","2001","Total people, sex",10140,
"Total people, ethnic group","85 Years","2001","Total people, sex",8920,
"Total people, ethnic group","82 Years","2001","Total people, sex",11520,
"Total people, ethnic group","80 Years","2001","Total people, sex",15810,
"Total people, ethnic group","81 Years","2001","Total people, sex",14550,
"Total people, ethnic group","79 Years","2001","Total people, sex",17270,
"Total people, ethnic group","78 Years","2001","Total people, sex",17850,
"Total people, ethnic group","75 Years","2001","Total people, sex",21420,
"Total people, ethnic group","76 Years","2001","Total people, sex",20940,
"Total people, ethnic group","77 Years","2001","Total people, sex",19080,
"Total people, ethnic group","74 Years","2001","Total people, sex",22340,
"Total people, ethnic group","72 Years","2001","Total people, sex",23900,
"Total people, ethnic group","73 Years","2001","Total people, sex",23580,
"Total people, ethnic group","71 Years","2001","Total people, sex",24980,
"Total people, ethnic group","70 Years","2001","Total people, sex",25970,
"Total people, ethnic group","67 Years","2001","Total people, sex",25810,
"Total people, ethnic group","68 Years","2001","Total people, sex",25720,
"Total people, ethnic group","69 Years","2001","Total people, sex",25340,
"Total people, ethnic group","66 Years","2001","Total people, sex",26530,
"Total people, ethnic group","64 Years","2001","Total people, sex",28830,
"Total people, ethnic group","65 Years","2001","Total people, sex",27530,
"Total people, ethnic group","63 Years","2001","Total people, sex",29970,
"Total people, ethnic group","62 Years","2001","Total people, sex",31140,
"Total people, ethnic group","59 Years","2001","Total people, sex",37320,
"Total people, ethnic group","60 Years","2001","Total people, sex",36880,
"Total people, ethnic group","61 Years","2001","Total people, sex",34170,
"Total people, ethnic group","58 Years","2001","Total people, sex",33680,
"Total people, ethnic group","57 Years","2006","Total people, sex",47920,
"Total people, ethnic group","58 Years","2006","Total people, sex",48370,
"Total people, ethnic group","59 Years","2006","Total people, sex",48680,
"Total people, ethnic group","60 Years","2006","Total people, sex",40960,
"Total people, ethnic group","61 Years","2006","Total people, sex",38840,
"Total people, ethnic group","62 Years","2006","Total people, sex",37080,
"Total people, ethnic group","63 Years","2006","Total people, sex",33120,
"Total people, ethnic group","64 Years","2006","Total people, sex",36660,
"Total people, ethnic group","65 Years","2006","Total people, sex",36070,
"Total people, ethnic group","66 Years","2006","Total people, sex",33180,
"Total people, ethnic group","67 Years","2006","Total people, sex",30110,
"Total people, ethnic group","68 Years","2006","Total people, sex",28750,
"Total people, ethnic group","69 Years","2006","Total people, sex",27430,
"Total people, ethnic group","70 Years","2006","Total people, sex",25850,
"Total people, ethnic group","71 Years","2006","Total people, sex",24590,
"Total people, ethnic group","72 Years","2006","Total people, sex",23790,
"Total people, ethnic group","73 Years","2006","Total people, sex",23190,
"Total people, ethnic group","74 Years","2006","Total people, sex",22750,
"Total people, ethnic group","75 Years","2006","Total people, sex",22900,
"Total people, ethnic group","76 Years","2006","Total people, sex",21850,
"Total people, ethnic group","77 Years","2006","Total people, sex",20550,
"Total people, ethnic group","78 Years","2006","Total people, sex",19860,
"Total people, ethnic group","79 Years","2006","Total people, sex",18440,
"Total people, ethnic group","80 Years","2006","Total people, sex",17410,
"Total people, ethnic group","81 Years","2006","Total people, sex",16510,
"Total people, ethnic group","82 Years","2006","Total people, sex",14670,
"Total people, ethnic group","83 Years","2006","Total people, sex",13230,
"Total people, ethnic group","84 Years","2006","Total people, sex",12350,
"Total people, ethnic group","85 Years","2006","Total people, sex",10790,
"Total people, ethnic group","86 Years","2006","Total people, sex",9520,
"Total people, ethnic group","87 Years","2006","Total people, sex",7090,
"Total people, ethnic group","88 Years","2006","Total people, sex",6190,
"Total people, ethnic group","89 Years","2006","Total people, sex",5490,
"Total people, ethnic group","90 Years and over","2006","Total people, sex",19060,
"Total people, ethnic group","57 Years","2001","Total people, sex",37660,
"Total people, ethnic group","90 Years and over","2013","Total people, sex",24940,
"Total people, ethnic group","87 Years","2013","Total people, sex",9800,
"Total people, ethnic group","88 Years","2013","Total people, sex",8820,
"Total people, ethnic group","89 Years","2013","Total people, sex",7120,
"Total people, ethnic group","86 Years","2013","Total people, sex",11370,
"Total people, ethnic group","84 Years","2013","Total people, sex",14060,
"Total people, ethnic group","85 Years","2013","Total people, sex",12670,
"Total people, ethnic group","83 Years","2013","Total people, sex",15400,
"Total people, ethnic group","82 Years","2013","Total people, sex",17060,
"Total people, ethnic group","80 Years","2013","Total people, sex",18190,
"Total people, ethnic group","81 Years","2013","Total people, sex",17420,
"Total people, ethnic group","77 Years","2013","Total people, sex",21550,
"Total people, ethnic group","78 Years","2013","Total people, sex",20210,
"Total people, ethnic group","79 Years","2013","Total people, sex",19160,
"Total people, ethnic group","76 Years","2013","Total people, sex",23380,
"Total people, ethnic group","74 Years","2013","Total people, sex",26580,
"Total people, ethnic group","75 Years","2013","Total people, sex",25040,
"Total people, ethnic group","73 Years","2013","Total people, sex",29850,
"Total people, ethnic group","72 Years","2013","Total people, sex",32710,
"Total people, ethnic group","69 Years","2013","Total people, sex",35090,
"Total people, ethnic group","70 Years","2013","Total people, sex",30930,
"Total people, ethnic group","71 Years","2013","Total people, sex",33980,
"Total people, ethnic group","68 Years","2013","Total people, sex",37120,
"Total people, ethnic group","66 Years","2013","Total people, sex",46990,
"Total people, ethnic group","67 Years","2013","Total people, sex",39440,
"Total people, ethnic group","65 Years","2013","Total people, sex",47130,
"Total people, ethnic group","64 Years","2013","Total people, sex",46940,
"Total people, ethnic group","61 Years","2013","Total people, sex",48810,
"Total people, ethnic group","62 Years","2013","Total people, sex",47900,
"Total people, ethnic group","63 Years","2013","Total people, sex",47750,
"Total people, ethnic group","60 Years","2013","Total people, sex",49600,
"Total people, ethnic group","58 Years","2013","Total people, sex",52710,
"Total people, ethnic group","59 Years","2013","Total people, sex",51520,
"Total people, ethnic group","57 Years","2013","Total people, sex",54590,
